supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/produkte/alu-glas-trennwaende/,"#Glastrennwandsysteme 
","[{""catId"":612361,""catPath"":""Furniture and contract furnishing => Room Dividers => Glass Partition Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=612361""}]","{""keywords_english"":{""1"":""Office partition walls"",""2"":""Shower partitions"",""3"":""Glass wall""},""keywords"":{""1"":""Bürotrennwände"",""2"":""Duschtrennwände"",""3"":""Glaswand""}}","Unsere Bürotrennwände ermöglichen eine effektive Raumaufteilung und setzen optische Akzente. Ob transparente Glaswand, schallisolierte Trennwand oder flexible Schiebetür - wir haben die passende Lösung für jede Bürogestaltung. Schaffen Sie eine angenehme Arbeitsatmosphäre und fördern Sie so die Produktivität Ihres Teams. 
 Duschtrennwände schützen nicht nur zuverlässig vor Wasserspritzern, sondern können auch ein optisches Highlight in Ihrem Badezimmer sein. 
 Ob feste Glaswand, elegante Schiebetür oder platzsparende Falttür - wir haben die passende Lösung für Ihre Badsituation. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/fr/produits/toitures-en-verre/gesamtloesung/,"Jardin d'hiver et Jardin d'été 
","[{""catId"":603665,""catPath"":""Supplies for agriculture, forestry, fishing, horticulture => Horticultural Supplies => Garden Houses"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603665""}]","{""keywords_english"":{""3"":""glass and aluminum veranda"",""2"":""Summer garden"",""1"":""Winter garden""},""keywords"":{""3"":""véranda en verre et aluminium"",""2"":""Jardin d'été"",""1"":""Jardin d'hiver""}}","Avec la combinaison du verre et de l’aluminium, nous transformons vos espaces extérieurs en véritables lieux de vie. La transparence et la solidité du verre, alliées à la robustesse de l’aluminium, créent une atmosphère unique où vous pouvez profiter pleinement du plein air tout en bénéficiant de confort et de protection. 
 Jardin d'été : veranda non isolée 
 Une véranda non isolée, également appelée jardin d’été, est un espace extérieur non chauffé offrant une vue dégagée sur la nature. 
 La combinaison d’un toit protecteur et d’un vitrage élégant crée un refuge lumineux et confortable, vous protégeant efficacement du vent et des intempéries. 
 Grâce à la haute qualité suisse de tous les composants, vous profitez d’un confort durable sur votre terrasse, votre espace de repos ou votre pergola. 
 Jardin d'hiver : veranda isolé 
 Réalisez votre rêve de jardin d’hiver ! Votre nouvel espace préféré, baigné de lumière et proche de la nature. 
 Un jardin d’hiver n’est pas seulement une extension de votre maison, c’est un lieu unique où confort, luminosité et bien-être se rencontrent. Même en hiver, vous y profitez d’une atmosphère chaleureuse et ouverte, tout en restant connecté à la nature. Qu’il s’agisse d’un salon accueillant, d’un coin repas élégant ou d’un havre de verdure – votre jardin d’hiver deviendra votre endroit favori. 
 Une multitude de possibilités : Découvrez chez nous un large choix de solutions esthétiques, durables et accessibles, parfaitement adaptées à votre style et à vos envies. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/fr/produits/vitrages/jardin-dhiver/,"Véranda non isolée - Jardin d'été 
","[{""catId"":602877,""catPath"":""Construction components => Roofs => Canopies => Terrace Canopies"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602877""}]","{""keywords_english"":{""1"":""non-insulated veranda"",""2"":""summer garden"",""3"":""glass and aluminum""},""keywords"":{""1"":""veranda non isolée"",""2"":""jardin d'été"",""3"":""verre et aluminium""}}","Avec la combinaison du verre et de l’aluminium, nous transformons vos espaces extérieurs en véritables lieux de vie. La transparence et la solidité du verre, alliées à la robustesse de l’aluminium, créent une atmosphère unique où vous pouvez profiter pleinement du plein air tout en bénéficiant de confort et de protection. 
 Jardin d'été : veranda non isolée 
 Une véranda non isolée, également appelée jardin d’été, est un espace extérieur non chauffé offrant une vue dégagée sur la nature. 
 La combinaison d’un toit protecteur et d’un vitrage élégant crée un refuge lumineux et confortable, vous protégeant efficacement du vent et des intempéries. 
 Grâce à la haute qualité suisse de tous les composants, vous profitez d’un confort durable sur votre terrasse, votre espace de repos ou votre pergola. 
 Jardin d'hiver : veranda isolé 
 Réalisez votre rêve de jardin d’hiver ! Votre nouvel espace préféré, baigné de lumière et proche de la nature. 
 Un jardin d’hiver n’est pas seulement une extension de votre maison, c’est un lieu unique où confort, luminosité et bien-être se rencontrent. Même en hiver, vous y profitez d’une atmosphère chaleureuse et ouverte, tout en restant connecté à la nature. Qu’il s’agisse d’un salon accueillant, d’un coin repas élégant ou d’un havre de verdure – votre jardin d’hiver deviendra votre endroit favori. 
 Une multitude de possibilités : Découvrez chez nous un large choix de solutions esthétiques, durables et accessibles, parfaitement adaptées à votre style et à vos envies. 
 Pour architectes et concepteurs 
 Il nous tient à cœur que les idées et les souhaits de nos clients puissent être réalisés avec succès. C'est pourquoi nous sommes à vos côtés dès le début : quelle que soit la phase du projet dans laquelle vous vous trouvez, nous vous soutenons volontiers. Vous trouverez de la documentation et des informations sur notre page d'assistance. 
 Qualité suisse 
 Lors de la sélection de nos fournisseurs, nous veillons à la régionalité et à la qualité. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/produkte/glasgelaender/windschutzgelaender/,"SlideGlass Windschutzgeländer 
","[{""catId"":603238,""catPath"":""Construction components => Railings => Glass Railings"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603238""}]","{""keywords_english"":{""1"":""Wind protection railing"",""2"":""Fall protection"",""3"":""SIA 358""},""keywords"":{""1"":""Windschutzgeländer"",""2"":""Absturzsicherung"",""3"":""SIA 358""}}","Windschutzgeländer 
 Das SlideGlass Windschutzgeländer: ein Produkt, zwei Funktionen 
 Das SlideGlass Windschutzgeländer dient als Absturzsicherung gemäss SIA 358 und schützt Sie gleichzeitig vor Wind. Durch manuellen Druck auf das Geländer können Sie aus dem Glasgeländer einen Windschutz machen. Dabei werden Sie von einem speziell entwickelten Gasdruckfedersystem unterstützt, das ohne Strom und ganz einfach von Hand bedienbar ist. 
 Die Vorteile vom SlideGlass Windschutzgeländer 
 
 Absturzsicherung und Windschutz in einem 
 einfache, manuelle Bedienung 
 häufig baubewilligungsfrei 
 entwickelt und hergestellt in der Schweiz 
 
 Das SlideGlass Geländer 
 In der Schweiz entwickelt und hergestellt ist SlideGlass die Windschutzlösung für alle, bei denen eine herkömmliche Verglasung nicht realisiert werden kann. Das Ganzglasgeländer kann häufig bewilligungsfrei eingesetzt werden und eignet sich für alle Situationen, in denen ein flexibler Schutz vor Wind gewünscht wird. Zu den Kundinnen und Kunden von SlideGlass gehören Terrassen- und Balkonbesitzer aber auch das Gastgewerbe. 
 Das Wichtigste im Überblick 
 
 Dimensionen: Breite 0.4m bis 1.40m, Höhe (Geländerhöhe) 1.10m, Höhe (Windschutzhöhe) 1.90m 
 Geländer dient als Absturzsicherung gemäss SIA 358 
 statisch geprüft inklusive Nachweis 
 bis zu Windklasse 6 
 Fussplatten und Pfosten aus Aluminium 
 Farbe nach Wahl 
 kann auch als Sichtschutz genutzt werden (beispielsweise mit Milchglas) 
 
 SlideGlass macht das Leben einfacher 
 Broschüre anschauen 
 Für Architekten und Planer 
 Es liegt uns am Herzen, dass die Ideen und Wünsche unserer Kundinnen und Kunden erfolgreich realisiert werden können. Deshalb stehen wir Ihnen von Anfang an zur Seite: Egal in welcher Projektphase Sie sich befinden, wir unterstützen Sie gerne. Auf unserer Support-Seite finden Sie Unterlagen und Informationen. 
 zur Support-Seite 
 Schweizer Qualität 
 Bei der Auswahl unserer Lieferanten achten wir auf Regionalität und Qualität. Deshalb setzen wir auf das SlideGlass Windschutzgeländer, das in der Schweiz entwickelt und produziert wird. Jedes Geländer wird nach Mass produziert. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/produkte/verglasungen/verglasungen-fuer-balkon-und-sitzplatz/,"Schiebe-Drehverglasung 
","[{""catId"":602963,""catPath"":""Construction components => Windows => Sliding Windows"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602963""}]","{""keywords_english"":{""3"":""frameless glass elements"",""2"":""Single Pane Safety Glass"",""1"":""Sliding-Turn Glazing""},""keywords"":{""3"":""rahmenlose Glaselemente"",""2"":""Einscheibensicherheitsglas"",""1"":""Schiebe-Drehverglasung""}}","Schaffen Sie mehr Lebensraum 
 Suchen Sie einen flexiblen und transparenten Windschutz für den Balkon, der sich Ihren Bedürfnissen anpasst? Dann ist eine Verglasung die richtige Lösung. Die Glaselemente lassen sich einfach öffnen, verschieben und je nach System auch vor die Wand ausdrehen. Sie profitieren vom Schutz der robusten Verglasung, ohne dass Ihre Sicht beeinträchtigt wird. 
 /assets/Inhaltsblock/COVER-rahmenlose-Verglasung-transparent__FillWzYwMCw2MDBd.jpg.webp 
 Schiebe-Drehverglasung 
 Die Schiebe-Drehverglasung passt sich immer Ihren Bedürfnissen an: Je nach Wetter und Temperatur können Sie die unisolierte Verglasung aus Einscheibensicherheitsglas (ESG) ganz oder nur teilweise öffnen. In geöffnetem Zustand drehen Sie die Verglasung zu einem platzsparenden Paket aus und geniessen Ihren „Freiluftbalkon“ in vollen Zügen. Mit einer Schiebe-Drehverglasung erhalten Sie ein dezentes und schmales Verglasungssystem mit rahmenlosen Glaselementen. 
 Das Wichtigste im Überblick 
 
 Die Glaselemente sind rahmenlos und verschieb- als auch ausdrehbar. 
 Höhe pro Glaselement maximal 2800 mm, Breite pro Glaselement maximal 800 mm. 
 Die Verglasung besteht aus einer oberen und einer unteren Führungsschiene aus Aluminium. 
 Die Führungsschienen können im Boden versenkt werden (Barrierefreiheit). 
 Wir verwenden Einscheibensicherheitsglas (ESG) in den Stärken 8mm und 10mm. 
 Feine Luftschlitze zwischen den einzelnen Glaselementen sorgen für eine nicht spürbare, natürliche Dauerbelüftung. 
 Die Glaselemente können platzsparend gestapelt werden, der Platzbedarf pro Element beträgt lediglich 27 mm. 
 Die geschlossene Verglasung verringert den Aussenlärm um die Hälfte. 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/produkte/ueberdachungen/glasvordach/,"Glasvordach SWISSROOF FREE 
","[{""catId"":602882,""catPath"":""Construction components => Roofs => Canopies => Roofs for Outdoor Areas"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602882""}]","{""keywords_english"":{""3"":""Glass Troesch"",""2"":""Protection against weather conditions"",""1"":""Glass canopy""},""keywords"":{""3"":""Glas Trösch"",""2"":""Schutz vor Witterungseinflüssen"",""1"":""Glasvordach""}}","Das Glasvordach schützt Ihren Eingangsbereich zuverlässig vor Witterungseinflüssen. Nebst dem zuverlässigen Schutz vor Regen übernimmt das Vordach aus Glas auch eine gestalterische Funktion bei der Hausgestaltung. 
 Die Vorteile vom Glasvordach SWISSROOF FREE 
 
 Zuverlässiger Schutz vor Regen und Dreck, die Fläche unter dem Glasvordach bleibt trotzdem hell. 
 Reduziertes und schwebend wirkendes Vordach für den modernen Objektbau. 
 Vielseitige Möglichkeiten in der Formgebung des Glases. Glasbreiten bis zu drei Metern sind möglich. 
 Dank elf Systembreiten und drei Vordachtiefen passt sich das Vordach aus Glas vielfältigen Anforderungen an. 
 Das Glasvordach ist hoch belastbar und langlebig; Glas wird weder brüchig noch trüb. 
 
 Hochwertige Überdachung aus Glas 
 So viel wie nötig, so wenig wie möglich: Das Glasvordach Swissroof free von Glas Trösch steht für eine hochwertige Überdachung aus Glas, die höchste Sicherheit mit Schlichtheit verbindet. Das Glas wird bei diesem Glasvordach lediglich von einer Wandhalterung getragen, was dem Vordach besonders viel Leichtigkeit verleiht. 
 Für Architekten und Planer 
 Es liegt uns am Herzen, dass die Ideen und Wünsche unserer Kundinnen und Kunden erfolgreich realisiert werden können. Deshalb stehen wir Ihnen von Anfang an zur Seite: Egal in welcher Projektphase Sie sich befinden, wir unterstützen Sie gerne. Auf unserer Support-Seite finden Sie Unterlagen und Informationen. 
 ZUR SUPPORT-SEITE 
 Partnerschaftlich 
 Bei der Auswahl unserer Lieferanten setzen wir auf renommierte und erfahrene Unternehmen. Glas Trösch ist ein dynamisches Schweizer Traditionsunternehmen mit über 100 Jahren Geschichte rund um Glas. In der Herstellung, Verarbeitung und Veredelung von Glas ist Glas Trösch das grösste Familienunternehmen in Europa und zählt über 6000 Mitarbeitende in 70 Betrieben. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/fr/produits/toitures-en-verre/toiture-en-verre/,"Toiture en verre 
","[{""catId"":602862,""catPath"":""Construction components => Roofs => Glass Roofs"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602862""}]","{""keywords_english"":{""1"":""glass roof"",""2"":""aluminum structure"",""3"":""protection against rain""},""keywords"":{""1"":""toit en verre"",""2"":""structure en aluminium"",""3"":""protection contre la pluie""}}","Les toits en verre protègent efficacement votre espace extérieur des caprices de la météo et garantissent que votre terrasse reste lumineuse et accueillante. Qu’il s’agisse d’un toit monopente classique ou d’un toit plat au design puriste et moderne, nous avons la solution adaptée à votre situation de construction. 
 Les avantages d’un toit en verre 
 
 Le toit en verre protège contre la pluie et la saleté, tout en laissant passer la lumière grâce aux éléments en verre. - Plus de surface utilisable de manière permanente sur votre espace de vie ou votre terrasse. - Structure en aluminium fine, inoxydable et très durable. - Peut être étendu ultérieurement avec une vitrification COVER pour balcon et espace de vie extérieur. - Stores solaires et éclairage peuvent être intégrés sans problème. 
 
 Toit plat – puriste, moderne 
 Un toit plat pour terrasse est à la fois tendance et un classique incontournable depuis l’époque du Bauhaus. Vous souhaitez créer un point fort esthétique avec votre couverture de terrasse ? Le toit plat est alors le choix idéal pour vous. 
 L’essentiel en un coup d’œil 
 
 Le toit plat s’accorde parfaitement aux constructions cubiques, tandis que dans l’architecture traditionnelle, il fait office d’élément décoratif. - La structure porteuse dissimulée confère élégance et garantit une sécurité maximale dans les régions à fortes charges de neige. - Profondeur maximale : 4,5 mètres. - L’espacement des chevrons est de 1 mètre. - La pente minimale du toit doit être de seulement 1,7 degré. - Les profils du toit en verre sont en aluminium, ce qui les rend très robustes et durables. - Sur demande, un éclairage peut être intégré dans les chevrons ainsi que dans le cadre du toit en verre. 
 
 Toit monopente – un classique intemporel 
 Les toits en verre sont souvent ajoutés ultérieurement à une maison existante et doivent s’intégrer discrètement à son apparence. Le toit de terrasse ROOFS, grâce à la combinaison de verre et d’aluminium, est un toit en verre très fin qui répond à la fois aux exigences esthétiques et fonctionnelles. 
 L’essentiel en un coup d’œil 
 
 Le toit en verre peut être autoportant ou fixé directement au mur de la maison. - Selon la charge de neige, des espacements entre chevrons jusqu’à 1 mètre et entre poteaux jusqu’à 5 mètres sont possibles. - Des profondeurs de toit jusqu’à 5 mètres peuvent être réalisées sans poteau supplémentaire. - La pente minimale du toit doit être de seulement 4 degrés. - En option, un éclairage peut être intégré directement dans les chevrons. - Chaque toit est fabriqué sur mesure selon les souhaits du client. 
 
 Pour architectes et concepteurs 
 Nous tenons à cœur que les idées et les souhaits de nos clients soient réalisés avec succès. C’est pourquoi nous vous accompagnons dès le début : quelle que soit la phase de votre projet, nous sommes à votre écoute et prêts à vous soutenir. Vous trouverez des documents et informations utiles sur notre page de support. 
 Qualité Suisse 
 Lors du choix de nos fournisseurs, nous privilégions la régionalité et la qualité. C’est pourquoi nous faisons confiance aux toits de terrasse ROOFS, fabriqués à Olten par la société SIO AG. Chaque toit en verre est produit sur mesure et selon les normes de production les plus modernes. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/fr/produits/systeme-de-cloisons-en-verre/,"#Système de cloisons en verre 
","[{""catId"":612361,""catPath"":""Furniture and contract furnishing => Room Dividers => Glass Partition Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=612361""}]","{""keywords_english"":{""3"":""sliding doors"",""2"":""glass wall"",""1"":""office partitions""},""keywords"":{""3"":""portes coulissantes"",""2"":""paroi en verre"",""1"":""cloisons de bureau""}}","Nos cloisons de bureau permettent une répartition efficace de l’espace et apportent des accents visuels. Qu’il s’agisse d’une paroi en verre transparente, d’une cloison acoustique ou d’une porte coulissante flexible, nous avons la solution adaptée à chaque aménagement de bureau. Créez une atmosphère de travail agréable et favorisez ainsi la productivité de votre équipe. 
 Les parois de douche protègent non seulement efficacement contre les éclaboussures, mais peuvent également devenir un élément visuel attrayant dans votre salle de bains. Qu’il s’agisse d’une paroi fixe, d’une élégante porte coulissante ou d’une porte pliante peu encombrante, nous avons la solution adaptée à votre situation sanitaire. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/produkte/ueberdachungen/glasdach/,"Glasdach 
","[{""catId"":602862,""catPath"":""Construction components => Roofs => Glass Roofs"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602862""}]","{""keywords_english"":{""1"":""Glass roof"",""2"":""Terrace protection"",""3"":""Aluminum construction""},""keywords"":{""1"":""Glasdach"",""2"":""Terrassenschutz"",""3"":""Aluminiumkonstruktion""}}","Glasdächer schützen Ihren Aussenbereich zuverlässig vor Wetterkapriolen und sorgen dafür, dass Ihre Terrasse hell und einladend bleibt. Ob klassisches Pultdach oder puristisch-modernes Flachdach - wir haben die passende Lösung für Ihre Bausituation. 
 Die Vorteile von einem Glasdach 
 
 Das Glasdach schützt vor Regen und Dreck, die Fläche darunter bleibt dank den Glaselementen aber trotzdem hell. 
 Mehr dauerhaft nutzbare Fläche vom Sitzplatz oder der Terrasse. 
 Schlanke Aluminiumkonstruktion, rostfrei und sehr dauerhaft. 
 Auch nachträglich erweiterbar mit einer COVER Balkon- und Sitzplatzverglasung. 
 Sonnenstoren und Beleuchtung können problemlos integriert werden. 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://hoch-drei.ch/fr/produits/toitures-en-verre/auvent-en-verre/,"Auvent en verre 
","[{""catId"":602876,""catPath"":""Construction components => Roofs => Canopies => Canopies (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602876""}]","{""keywords_english"":{""3"":""wall fixings"",""2"":""SWISSROOF FREE"",""1"":""glass canopy""},""keywords"":{""3"":""fixations murales"",""2"":""SWISSROOF FREE"",""1"":""auvent en verre""}}","Auvent en verre discret – SWISSROOF FREE 
 L’auvent en verre protège de manière fiable votre entrée contre les intempéries. En plus d’offrir une protection efficace contre la pluie, il joue également un rôle esthétique dans la conception de la façade. 
 Les avantages de l’auvent en verre SWISSROOF FREE 
 
 Protection fiable contre la pluie et la saleté, tout en laissant passer la lumière sous l’auvent. 
 Auvent au design épuré et flottant, idéal pour les constructions modernes. 
 Grande liberté de conception grâce à différentes formes de verre. Largeurs de verre jusqu’à trois mètres possibles. 
 Disponible en onze largeurs standards et trois profondeurs, l’auvent s’adapte à de nombreuses exigences architecturales. 
 L’auvent en verre est extrêmement résistant et durable : le verre ne devient ni cassant ni opaque. 
 
 /assets/Inhaltsblock/Swissroof-free-Glastroesch-Hoch-dreiVerglasungen__FillWzYwMCw2MDBd.jpg.webp 
 Couverture en verre haut de gamme 
 Autant que nécessaire, aussi peu que possible : L’auvent en verre Swissroof Free de Glas Trösch incarne une couverture en verre haut de gamme qui allie sécurité maximale et design épuré. Le verre n’est soutenu que par un support mural, ce qui confère à l’auvent une légèreté particulière. 
 L’essentiel en un coup d’œil 
 
 L’auvent en verre est disponible avec deux versions de fixations murales : SWISSROOF FREE S et SWISSROOF FREE V. 
 SWISSROOF FREE S : les fixations sont visibles dans le profilé en aluminium et créent des accents visuels. 
 SWISSROOF FREE V : les fixations sont dissimulées, la fixation murale reste discrète à l’arrière-plan. 
 L’inclinaison du toit est de 10°. 
 Pour atteindre la largeur souhaitée, plusieurs fixations murales peuvent être juxtaposées. 
 Pour une sécurité maximale, un verre feuilleté de sécurité (VSG) en TVG avec SWISSLAMEX Ultrastrong 17,52 mm est utilisé. 
 Les fixations murales et la tôle de couverture sont en aluminium anodisé naturel EV1. 
 
 /assets/Inhaltsblock/Line-Illustration_Beratung_Zeichenflache-1__FillWzYwMCw2MDBd.png.webp 
 Pour architectes et concepteurs 
 Nous tenons à cœur que les idées et les souhaits de nos clients puissent être réalisés avec succès. C’est pourquoi nous vous accompagnons dès le début : quelle que soit la phase de votre projet, nous sommes à vos côtés. Vous trouverez des documents et des informations utiles sur notre page de support. 
 SUPPORT 
 En partenariat 
 Dans le choix de nos fournisseurs, nous misons sur des entreprises renommées et expérimentées. Glas Trösch est une entreprise familiale suisse dynamique, forte de plus de 100 ans d’histoire autour du verre. En matière de fabrication, de transformation et de finition du verre, Glas Trösch est la plus grande entreprise familiale en Europe, avec plus de 6 000 collaborateurs répartis sur 70 sites. 
",COMPLETE,
