supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it/product/ts5051,"Supporto da soffitto/bandiera per display sportello LCD 
","[{""catId"":614649,""catPath"":""Advertising materials and advertising technology => Advertising Displays => POS Displays => Counter Displays"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614649""}]","{""keywords_english"":{""3"":""LCD door display"",""2"":""flag mount"",""1"":""ceiling mount""},""keywords"":{""3"":""display sportello LCD"",""2"":""supporto bandiera"",""1"":""supporto da soffitto""}}","Supporto da soffitto/bandiera per display sportello LCD 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it/product/qslcd43,"Monitor LED 43"" 
","[{""catId"":607464,""catPath"":""Hardware for information and communication technology => Monitors => LED Monitors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607464""}]","{""keywords_english"":{""1"":""LED Monitor 43 inches"",""2"":""Philips 36-month warranty"",""3"":""main display unit""},""keywords"":{""1"":""Monitor LED 43 pollici"",""2"":""Philips 36 mesi garanzia"",""3"":""unità principale di visualizzazione""}}","Q-RETAIL
Monitor LED 43"" 
 Codice articolo: QS-LCD43 
 Costituisce l'unità principale di visualizzazione a 43 pollici, solitamente posta nella zona d'attesa ad uso dell'utenza. È possibile installare più monitor in zone differenti, tenendo presente che a ciascuno di essi andrà collegata una unità server box di gestione. Garanzia Philips di 36 mesi con supporto On-Site. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it/product/turnopoint/,"TURNOPOINT 
","[{""catId"":607051,""catPath"":""Catering technology and kitchen equipment => Catering technology and kitchen equipment (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607051""}]","{""keywords_english"":{""3"":""HO.RE.CA. sector"",""2"":""voice call module"",""1"":""queue management system""},""keywords"":{""3"":""settore HO.RE.CA."",""2"":""modulo di chiamata vocale"",""1"":""sistema eliminacode""}}","La linea TURNOPOINT trova spesso applicazione in ambienti FOOD quali Panetterie, Pasticcerie, Gelaterie, Pescherie, Gastronomie ed è espressamente dedicato al settore HO.RE.CA. e delle attrezzature per la ristorazione in genere. Grazie all'utilizzo del comando a radiofrequenza può essere facilmente installato direttamente dall'utilizzatore. La linea, inoltre, comprende numerosi accessori ed il relativo materiale di consumo. 
 Dai un tocco di originalità con il VOICE 
 Come accessorio è disponibile il modulo di chiamata vocale (VOICE2/VOICE3) che, opportunamente collegato al display, indicherà con voce femminile il numero progressivo e l’eventuale reparto di vendita (gastronomia, panetteria, pescheria, etc.). Tutti i messaggi sono già preregistrati e la selezione può essere effettuata direttamente in fase di installazione tramite dip-switch. 
 FORMULA KIT 
 La formula KIT comprende tutto l'occorrente per l'attivazione di un sistema eliminacode completo 
 
 Display a 2 cifre 
 Cartello in PVC ""Ticket"" 
 Radiocomando TX 
 Alimentatore switching con presa europea 
 Etichetta adesiva ""SERVIAMO IL"" 
 Radiocomando 
 Distributore di ticket 
 Rotolo da 2000 ticket 
 Manuale utente 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it/product/td04,"Display a 2 cifre 
","[{""catId"":607478,""catPath"":""Hardware for information and communication technology => Displays => Display Modules => LED Display Modules"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607478""}]","{""keywords_english"":{""3"":""acoustic signal"",""2"":""progressive number"",""1"":""electronic display""},""keywords"":{""3"":""avvisatore acustico"",""2"":""numero progressivo"",""1"":""display elettronico""}}","Display elettronico a 3 cifre a segmenti luminosi per l'indicazione del numero progressivo di turno. Realizzato in materiale plastico, è corredato di accessori per l'aggancio a parete o soffitto. È dotato di avvisatore acustico, lampeggio delle cifre e azzeramento. Tutti i display TD04 possono essere collegati l'uno all'altro per la visualizzazione dello stesso numero progressivo. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it/product/cons3,"Regolacode MONOPUNTO Consolle a 3 cifre 
","[{""catId"":607474,""catPath"":""Hardware for information and communication technology => Displays => Display Modules => Alphanumeric Displays"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607474""}]","{""keywords_english"":{""1"":""3-digit console"",""2"":""LED display"",""3"":""numeric keypad""},""keywords"":{""1"":""Consolle a 3 cifre"",""2"":""display LED"",""3"":""tastiera numerica""}}","Console da banco per operatore con display LED a 3 cifre. È provvista di una tastiera numerica e di 2 tasti per avanzamento e decremento (+ e -). È predisposta per il collegamento al display (posto in modalità SLAVE) tramite piattina telefonica a 6 poli. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it/product/ts5001/,"Regolacode Multipunto 
","[{""catId"":614649,""catPath"":""Advertising materials and advertising technology => Advertising Displays => POS Displays => Counter Displays"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614649""}]","{""keywords_english"":{""3"":""Service number"",""2"":""Display mount"",""1"":""Counter stand""},""keywords"":{""3"":""Numero sportello"",""2"":""Aggancio display"",""1"":""Supporto da banco""}}","Supporto da banco predisposto per l'aggancio del display, il passaggio dei relativi cavi e recante l'indicazione numerica del numero di sportello. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it/product/qspharmabox,"Client Display Box progettato per le Farmacie 
","[{""catId"":612448,""catPath"":""Furniture and contract furnishing => Custom Furnishings => Pharmacy Supplies"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=612448""}]","{""keywords_english"":{""1"":""Client Display Box"",""2"":""Pharmacies"",""3"":""QS-PHARMABOX""},""keywords"":{""1"":""Client Display Box"",""2"":""Farmacie"",""3"":""QS-PHARMABOX""}}","MicroTouch
Riepilogativo storico a 3 
 Codice articolo: QS-PHARMABOX 
 Client Display Box progettato per le Farmacie. L'interfaccia grafica si presenta con uno storico a 3 elementi sulla parte destra e sulla sinistra troviamo lo spazio relativo alla playlist digitale. In cima alla colonna della numerazione di turno il Cliente può posizionare il proprio logo. QS-PHARMABOX è in grado di pronunciare inoltre il numero di turno, il nome del servizio e il nome e numero della postazione chiamante. Monitor non incluso. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it//product/qs-lcd16a/,"MicroTouch Smart Monitor Android 
","[{""catId"":607466,""catPath"":""Hardware for information and communication technology => Monitors => Touch Screens"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607466""}]","{""keywords_english"":{""3"":""queue management monitor"",""2"":""10-inch Android monitor"",""1"":""MicroTouch Smart Monitor""},""keywords"":{""3"":""monitor eliminacode"",""2"":""monitor Android 10 pollici"",""1"":""MicroTouch Smart Monitor""}}","MicroTouch
Smart Monitor Android 
 Consente di visualizzare, in base alla licenza scelta, il tipo di funzione svolta (lettera alfabetica), il numero progressivo di turno e il numero di postazione. Il cabinet è realizzato in ABS di colore nero opaco. Viene connesso alla rete LAN esistente. Disponibile anche nel taglio da 10"" pollici con assistente vocale e 22"" pollici. 
 Licenze disponibili: QS-SWDESK (display sportello)QS-SWSUMMARY (display riepilogativo a mosaico)QS-SWVERTICAL (display riepilogativo a layout verticale)QS-SWRETAILPRO (display eliminacode a 2 servizi con Cloud)QS-SWNEXT (display eliminacode per Check-in/Check-out)QS-SWNEXTAB (semaforo digitale per accessi contingentati)QS-SWLITE (display riepilogativo a 3 elementi)QS-SWLCD (display riepilogativo a 4 elementi)QS-SWPHARMA (display storico a 3 elementi)QS-SWRETAIL (display eliminacode a 2 servizi)QS-SWFOOD (display eliminacode per settore FOOD) 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it/product/qsverticalboxpro,"QS-VERTICALBOX PRO 
","[{""catId"":607470,""catPath"":""Hardware for information and communication technology => Displays => Displays (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=607470""}]","{""keywords_english"":{""3"":""integrated Digital Signage"",""2"":""vertical display"",""1"":""Client TV-Box""},""keywords"":{""3"":""Digital Signage integrato"",""2"":""display verticale"",""1"":""Client TV-Box""}}","MicroTouch
Client TV-Box con Display storico/riepilogativo verticale della numerazione di turno e Digital Signage integrato 
 Codice articolo: QS-VERTICALBOX PRO 
 QS-VERTICALBOX PRO rappresenta la nuova proposta di display riepilogativo progettata con layout verticale. La sua flessibilità di configurazione consente di soddisfare appieno le esigenze del cliente il quale può mostrare fino a 6 differenti numerazioni di turno in modalità storico o riepilogativo per servizio. In aggiunta alla numerazione di turno è possibile visualizzare una serie di immagini (no video), anche con gestione remota grazie alla compatibilità con la piattaforma Visel Cloud. Completano l'interfaccia utente la visualizzazione di data e ora, logo del Cliente, situazione meteo della località prescelta e una barra dei Feed RSS (news). *Monitor non incluso. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.visel.it/it/product/mp-carter,"TurnSystem MULTIPOINT Carter Colorati 
","[{""catId"":611117,""catPath"":""Machine parts => Machine Covers"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=611117""}]","{""keywords_english"":{""1"":""TurnSystem MULTIPOINT"",""2"":""Colored Covers"",""3"":""ABS Housing""},""keywords"":{""1"":""TurnSystem MULTIPOINT"",""2"":""Carter Colorati"",""3"":""ABS Housing""}}","Per differenziare con chiarezza i servizi sono inoltre disponibili dei carter in ABS in differenti colori da inserire negli appositi alloggiamenti. 
",COMPLETE,
