supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/fr/tubes-carton/pour-le-papier/pour-les-papiers-demballage/,"Tubes carton pour papiers d'emballage 
","[{""catId"":614390,""catPath"":""Packaging material => Packaging Products => Tubes"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614390""}]","{""keywords_english"":{""3"":""custom dimensions"",""2"":""wrapping papers"",""1"":""standard tubes""},""keywords"":{""3"":""dimensions sur mesure"",""2"":""papiers d'emballage"",""1"":""tubes standard""}}","Avec nos tubes standard pour papiers d'emballage, vous faites le bon choix - que ce soit pour les papiers fins, les papiers kraft, les cartons pour boîtes pliantes ou les papiers à envelopper. Selon le produit à enrouler, nous livrons nos tubes dans des qualités et dimensions sur mesure. 
 Vos avantages: 
 
 Qualités sur mesure 
 Dimensions individuelles 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/fr/tubes-carton/pour-le-papier/pour-les-papiers-hygieniques/,"Tubes carton pour les papiers hygiéniques 
","[{""catId"":614390,""catPath"":""Packaging material => Packaging Products => Tubes"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614390""}]","{""keywords_english"":{""2"":""hygienic papers"",""1"":""cardboard tubes"",""3"":""RFID technology""},""keywords"":{""2"":""papiers hygiéniques"",""1"":""tubes carton"",""3"":""technique RFID""}}","Pour les papiers hygiéniques Des dimensions particulières aux modèles spéciaux : Nous avons les tubes carton adéquats pour vos papiers hygiéniques. 
 Du papier toilette au rouleau d’essuie-tout : nous vous offrons les tubes carton adéquats pour les bobines-mères de vos papiers hygiéniques. Ensemble, nous avons développé des solutions pour chaque exigence - des dimensions paticulières aux modèles spéciaux, par exemple avec la technique de pointe RFID. 
 Votre avantage: 
 
 Modèles spéciaux et dimensions particulières disponibles 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/pl/zabezpieczenie-krawedzi/katownikowe-zabezpieczenie-krawedzi/odpornosc-na-wilgoc/,"Karton na tuleje odporny na wilgoć 
","[{""catId"":614573,""catPath"":""Packaging material => Packaging Aids => Filling Material and Padding Material => Edge Protectors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614573""}]","{""keywords_english"":{""2"":""moisture resistance"",""1"":""corner edge protection"",""3"":""recycling""},""keywords"":{""2"":""odporność na wilgoć"",""1"":""kątownikowe zabezpieczenie krawędzi"",""3"":""recykling""}}","Zwiększona wytrzymałość Dzięki naszym odpornym na wilgoć kątownikowym zabezpieczeniom krawędzi Państwa towary mają optymalną ochronę. 
 Chcą Państwo przechowywać żywność w chłodniach lub materiały budowlane na zewnątrz? Z kątownikowym zabezpieczeniem krawędzi odpornym na wilgoć nie stanowi to problemu. Uwzględniliśmy Państwa potrzeby i wykonaliśmy kątownikowe zabezpieczenie krawędzi w wersji odpornej na wilgoć dzięki zastosowaniu specjalnych odmian papieru i klejów. 
 Decydując się na takie zabezpieczenie działają Państwo na rzecz ochrony środowiska. Wersja ta jest nadaje się też w 100 % do recyklingu. 
 Korzyści: 
 
 Optymalna ochrona przy magazynowaniu na zewnątrz 
 Prosta utylizacja jako makulatura 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/pl/tuleje/do-papieru/tuleje-do-papieru-specjalnego/,"Tuleje do papieru specjalnego 
","[{""catId"":605418,""catPath"":""Printing and paper => Paper => Paper Rolls => Paper Rolls (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=605418""}]","{""keywords_english"":{""3"":""cores for label paper"",""2"":""cores for thermal paper"",""1"":""cores for photographic paper""},""keywords"":{""3"":""tuleje do papieru etykietowego"",""2"":""tuleje do papieru termicznego"",""1"":""tuleje do papieru fotograficznego""}}","Do papieru specjalnego Surowy papier fotograficzny, papier termiczny, papier etykietowy, papier pergaminowy lub papier do produkcji papierosów: Nasze tuleje do papieru specjalnego spełniają wszelkie wymogi. 
 Papier specjalny wymaga specjalnych tulei: Wspólnie z naszymi klientami opracowaliśmy tuleje do papieru specjalnego. Od tulej do surowego papieru fotograficznego, papieru termicznego i papieru etykietowego, poprzez papier pergaminowy i papier do produkcji papierosów: Dysponujemy tulejami odpowiednimi do indywidualnych potrzeb. 
 Korzyści: 
 
 Specjalne tuleje do papieru specjalnego 
 Indywidualne doradztwo i produkcja, zgodnie z zapotrzebowaniem klienta 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/fr/cornieres-carton/cornieres-carton-angulaires/resistante-a-lhumidite/,"Cornière résistante à l’humidité 
","[{""catId"":614573,""catPath"":""Packaging material => Packaging Aids => Filling Material and Padding Material => Edge Protectors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614573""}]","{""keywords_english"":{""3"":""recyclable cardboard angle board"",""2"":""outdoor storage protection"",""1"":""moisture-resistant angle board""},""keywords"":{""3"":""cornière carton recyclable"",""2"":""protection de stockage extérieur"",""1"":""cornière résistante à l'humidité""}}","Résistante à l’humidité Avec notre cornière résistante à l'humidité, vos marchandises ont une protection optimale. 
 Vous souhaitez stocker des aliments en entrepôt frigorifique ou des matériaux de construction en extérieur ? Avec notre cornière résistante à l’humidité, ceci ne pose aucun problème. Nous nous sommes tournés vers vos besoins et avons rendu notre cornière résistante à l’humidité grâce à l’utilisation de sortes de papiers et de colles spéciales. 
 En choisissant notre cornière carton angulaire résistante à l’humidité, vous faites un geste pour l’environnement. Car, évidemment, ce produit est recyclable à 100 %. 
 Vos avantages : 
 
 Protection optimale en cas de stockage à l‘extérieur 
 Élimination simple dans le circuit des vieux papiers 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/en/edge-protectors/angular-edge-protectors/self-adhesive/,"Self-adhesive Angular Edge Protectors 
","[{""catId"":614573,""catPath"":""Packaging material => Packaging Aids => Filling Material and Padding Material => Edge Protectors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614573""}]","{""keywords_english"":{""3"":""Hot-melt adhesive corner protectors"",""2"":""Packaging line corner protection"",""1"":""Self-adhesive edge protectors""},""keywords"":{""3"":""Heißschmelzkleber Kantenschutz"",""2"":""Verpackungslinie Kantenschutz"",""1"":""Selbstklebende Eckenschutz""}}","Your requirements are the starting point for our developments. The best example: Our self-adhesive angular edge protectors. They are especially suitable for packages or palettes, which are finally packaged in a packing line. You can fasten the self-adhesive angular edge protectors without any additional means. Featuring one or two spirally applied glue beads next to each other, the angular edge protectors are particularly easy to mount. No cover tape has to be removed. 
 The self-adhesive angular edge protectors are alternatively available with sprayable hot-melt adhesive. The following applies for both versions: The adhesive strength is variable. Here, we also orient ourselves completely at your needs. 
 Your benefits: 
 
 Easy handling 
 Variable adhesive strength 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/en/paper-cores/for-paper/,"Paper Cores 
","[{""catId"":614522,""catPath"":""Packaging material => Packaging Products => Core Rings"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614522""}]","{""keywords_english"":{""3"":""PZ Core"",""2"":""GP Premium® Series"",""1"":""Paper Cores""},""keywords"":{""3"":""PZ Kern"",""2"":""GP Premium®-Serie"",""1"":""Papierkerne""}}","For Paper Whether for technical papers or for graphic papers, whether for packaging papers, containerboard, hygiene, special, photo or inkjet papers: with our cores you are optimally positioned. 
 Every packaging, every printed product and many hygiene articles need them. 
 They are the central issue of the paper when it comes onto the reel. In the whole paper industry, they are irreplaceable: the cores. We at Paul & Co offer you the appropriate core for every paper. We conform totally to your requirements. We develop the suitable product together with you. 
 Your benefits: 
 
 Custom-made qualities and dimensions 
 Precise dimensions and good characteristics of concentric rotation 
 Trouble-free and safe use of the paper rolls 
 
 Do you work in newspaper printing and are you looking for a core which can withstand the demands of modern rewinders and high-speed printing presses? Our paper cores of the GP Premium® series precisely fulfil these requirements. 
 Are you looking for the right paper core for your special requirements in the paper and printing industry? Rely on our electronic product configurator. It will help you to determine the optimal core for your graphic papers. 
 Are you looking for the perfect core for fine papers, kraft papers, folding box board or packaging papers? You will make the right decision with our standard cores for packaging papers. 
 Do you need cores, which guarantee trouble-free and safe application of your paper rolls on your customer’s corrugator? Then rely on our paper cores for containerboard. 
 Are you looking for the suitable core for filter papers, electrical insulation papers, abrasive papers or décor papers? Then our cores for technical papers are just what you need in this case. 
 Do you need cores, which guarantee trouble-free and safe application of your paper rolls on your customer’s corrugator? Then rely on our paper cores for containerboard. 
 Are you looking for the suitable core for filter papers, electrical insulation papers, abrasive papers or décor papers? Then our cores for technical papers are just what you need in this case. 
 Are you still in search of the right core for tissue and crepe papers? With our cores for hygiene papers you can put an end to your search. We have the suitable core for your requirements. 
 Do you want a core which is as special as your papers? Then put your trust in our cores for special papers. We offer suitable cores for photographic base, thermal and label papers as well as for parchment and cigarette papers. 
 Are you looking for a core which allows you to process your photo and inkjet papers all the way to the last meter? Rely on our core type PZ with a soft, flexible surface. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/pl/tuleje/do-folii-i-opakowan-elastycznych/do-opakowan-elastycznych/,"Flexible Packaging Bags 
","[{""catId"":614505,""catPath"":""Packaging material => Packaging Products => Flexible Packaging"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614505""}]","{""keywords_english"":{""3"":""cigarette packaging"",""2"":""soup bags"",""1"":""flexible packaging cores""},""keywords"":{""3"":""opakowania na papierosy"",""2"":""torebki na zupy"",""1"":""tuleje opakowań elastycznych""}}","Do opakowań elastycznych Od torebek na zupy w proszku po opakowań papierosów: Warto wybrać nasze tuleje, przystosowane do specjalnych zastosowań. 
 Torebki na zupy lub opakowania na papierosy: Opakowania łączone z papieru, folii i aluminium są dziś powszechnie stosowane w codziennym życiu. Wobec tych opakowań stawiane są najwyższe wymagania. Zwiększają one trwałość żywności, chronią tabletki, a równocześnie pełnią ważną funkcję marketingową. Równie wysokie są wymagania stawiane przez klientów wobec naszych tulei do opakowań elastycznych. Dlatego tak istotna jest dla nas ścisła współprawa ze zleceniodawcą. Razem opracowujemy tuleje o odpowiedniej jakości, a także precyzyjnych i stałych wymiarach. 
 Od uszlachetniania powierzchni po dopasowania właściwe dla specjalnych zastosowań 
 W przypadku elastycznych opakowań bazujemy na doświadczeniu zgromadzonym podczas pracy nad innymi obszarami naszej oferty. Dzięki temu podczas projektowania i produkcji naszych tulei elastycznych opakowań uwzględniana jest m. in. nasza wiedza dotycząca wytwarzania szczególnie wy踽tnych tulei dla przemysłu papierniczego. Równocześnie sięgamy po techniki uszlachetniania powierzchni znane z produkcji tulei do folii. Dzięki temu mogą Państwo otrzymać tuleje także z osiowymi lub spiralnymi paskami mocującymi. Dopasowujemy te paski do indywidualnych wymogów, odpowiednio do zastosowania. 
 Korzyści: 
 
 Duża, różnorodna oferta - Dopasowane cechy jakościowe - Precyzyjne i stałe wymiary - Zaawansowane warunki higieniczne 
 
 Do opakowań elastycznych proponujemy: 
 
 Szczególnie wytrzymałe tuleje standardowe - Tuleje PGG z uszlachetnianą powierzchnią z cięciem bez pyłu - Specjalnie osuszane tuleje GUK z blokadą wilgoci 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/fr/cornieres-carton/cornieres-carton-angulaires/autocollante/,"Autocollante Notre cornière carton angulaire 
","[{""catId"":614573,""catPath"":""Packaging material => Packaging Aids => Filling Material and Padding Material => Edge Protectors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614573""}]","{""keywords_english"":{""3"":""variable adhesion"",""2"":""package protection"",""1"":""adhesive corner protector""},""keywords"":{""3"":""adhérence variable"",""2"":""protection des paquets"",""1"":""cornière autocollante""}}","Vos exigences sont le point de départ de nos développements. Le meilleur exemple: Notre cornière autocollante. Elle convient particulièrement bien aux paquets ou palettes emballés dans une chaîne d’emballage. Vous pouvez fixer la cornière autocollante sans aide supplémentaire. Grâce à de cordons de colle – un ou deux parallèlement - la cornière se fixe très facilement. Il n’est pas nécessaire de retrancher un papier antiadhésif. 
 La cornière autocollante est disponible aussi avec application de colle pulvérisée. Aux deux variantes s’applique: La force d’adhérence est variable. Ici aussi, nous nous adaptons à vos exigences. 
 Vos avantages: 
 
 Maniement simple 
 Force d’adhérence variable 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.paulundco.de/en/edge-protectors/angular-edge-protectors/standard/,"Standard Angular Edge Protectors 
","[{""catId"":614573,""catPath"":""Packaging material => Packaging Aids => Filling Material and Padding Material => Edge Protectors"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=614573""}]","{""keywords_english"":{""3"":""stackable"",""2"":""tensioning straps"",""1"":""angular edge protectors""},""keywords"":{""3"":""stapelbar"",""2"":""Spannbänder"",""1"":""Kantenschutzwinkel""}}","With our angular edge protector you do not only secure stacked cartons on palettes against slippage and sensitive carton corners against damage, but when using tensioning straps and stretch foils, you ensure optimum distribution of the tension forces onto the complete packing unit. In addition, by using the angular edge protector, the stackability of your goods increases. Your benefit: Optimal securing of the loading units and effective utilisation of space at the same time. 
",COMPLETE,
