supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/produkte/c-serie/,"C-Serie 
","[{""catId"":608527,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Air Conditioning Technology => Air Conditioning Systems => Air Curtain Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608527""}]","{""keywords_english"":{""3"":""Energy saving"",""2"":""Pressure chamber nozzle technology"",""1"":""Air curtain""},""keywords"":{""3"":""Energieeinsparung"",""2"":""Druckkammer-Düsentechnologie"",""1"":""Luftschleier""}}","Der flexible Luftschleier – effizient, ökonomisch, intelligent 
 Mit der C-Serie können Sie den Luftschleier an ihre individuelle Eingangssituation perfekt anpassen. Durch die patentierte CONVERGO Druckkammer-Düsentechnologie von Teddington wird der Raumenergiebedarf enorm reduziert. Damit ist gegenüber ungeschützten Eingängen eine Energieeinsparung von mehr als 80% möglich. 
 Die C-Serie setzt neue Maßstäbe in Sachen Effektivität, Energieeffizienz und Funktionalität. Zukunftsorientierte Technik, hochwertige Qualität und Verarbeitung, höchste Flexibilität und richtungsweisendes Design machen die C-Serie zum zuverlässigen Allrounder für jeden Bedarf und jede Situation. Für kleinere Industrietore, wie zum Beispiel bei LKW-Laderampen oder für Andocktore, ist die spezielle Teddington C-Serie Industrie hervorragend geeignet. 
 Qualität und Funktionalität 
 Die C-Serie setzt neue Maßstäbe in Sachen Effektivität, Energieeffizienz und Funktionalität. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/produkte/ellipse/,"Ellipse Luftschleier 
","[{""catId"":608527,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Air Conditioning Technology => Air Conditioning Systems => Air Curtain Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608527""}]","{""keywords_english"":{""1"":""door air curtain"",""2"":""ELLIPSE air curtain"",""3"":""patented nozzle technology CONVERGO""},""keywords"":{""1"":""Türluftschleier"",""2"":""ELLIPSE Luftschleier"",""3"":""patentierte Düsentechnik CONVERGO""}}","Türluftschleier mit sanften Rundungen und starker Technik 
 Die Design-Luftschleier der Serie ELLIPSE bieten mit ihren weichen Rundungen ein zeitloses Design, das sich harmonisch in jedes Ambiente einfügt. Die elegante Form passt sich sehr gut sowohl in klassische als auch moderne Architektur ein. 
 Die Geräte für die horizontale Montage zum Beispiel an Pendel- oder Schiebetüren können in individuellen Baulängen von 1000 mm bis 3000 mm gefertigt werden. 
 Individuelle Lackierungen oder die moderne Edelstahloptik sowie Sonderausstattungen – z.B. integrierte LED-Spots – runden Funktionalität und Design der ELLIPSE-Geräteserie ab. 
 Patentierte Düsentechnik CONVERGO® 
 Ein stark gerichteter Luftstrahl, mit dem sich bei geringem Energiebedarf sehr hohe und breite Türen abschirmen lassen. 
 Effektivität und Zuverlässigkeit 
 Höchste Qualität 
 Unsere Türluftschleier sind ""Made in Germany"" und erfüllen höchste Qualitätsansprüche. 
 Teddington funktioniert 
 Nur wenn der Luftschleier bis zur Türschwelle reicht, wird die Tür wirkungsvoll abgeschirmt. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/produkte/induvent-torluftschleier/,"Induvent 
","[{""catId"":608527,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Air Conditioning Technology => Air Conditioning Systems => Air Curtain Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608527""}]","{""keywords_english"":{""3"":""Energy Efficiency"",""2"":""CONVERGO Nozzle Technology"",""1"":""Industrial Air Curtain""},""keywords"":{""3"":""Energieeffizienz"",""2"":""CONVERGO Düsentechnologie"",""1"":""Industrieluftschleier""}}","Induvent 
 Induvent ist der kompakte und leistungsstarke Luftschleier für Industrietore. 
 Stark frequentierte Werkshallen mit meterhohen Toren verursachen enorme Zugerscheinungen verbunden mit hohen Energieverlusten. Gefordert sind hier energiesparende und platzsparende Kompaktlösungen für zugluftarme Klimaverhältnisse. 
 Die Induvent Torluftschleier von Teddington für die vertikale oder horizontale Montage sind für den universellen Einsatz in allen Industriebereichen ausgelegt. Die patentierte CONVERGO® Düsentechnologie im Ausblasbereich sorgt für eine hohe Wurfweite bei minimiertem Energiebedarf. Induvent Torluftschleier reduzieren diese Effekte auf ein Minimum und sorgen für ein Wohlfühlklima. 
 Durch viele verschiedene Bauformen passen sich die Induvent Geräte flexibel allen Leistungsanforderungen und Raumsituationen an. 
 Besonders beim Einsatz an Toren von Wertstoffhöfen haben sich die Induvent Torluftschleier zur Abschirmung von Geruchsemissionen bewährt. 
 Teddington Induvent Torluftschleier bieten höchste Energieeffizienz. Sie sparen Energie, senken die Kosten und verbessern gleichzeitig das Wohlfühlklima z.B. in: 
 
 Industriehallen 
 Lagerhallen 
 Werkstätten und Betriebsgebäuden 
 Logistikzentren 
 Messehallen 
 und vielen anderen mehr 
 
 Patentierte Düsentechnik CONVERGO® 
 Ein stark gerichteter Luftstrahl, mit dem sich bei geringem Energiebedarf auch sehr hohe und breite Tore abschirmen lassen. 
 Effektivität und Zuverlässigkeit 
 Hohe Wirtschaftlichkeit 
 Die patentierte CONVERGO® Düsentechnologie liefert die Grundlage für eine hohe Wirtschaftlichkeit. 
 Höchste Qualität 
 Unsere Türluftschleier sind ""Made in Germany"" und erfüllen höchste Qualitätsansprüche. 
 Teddington funktioniert 
 Nur wenn der Luftschleier bis zur Türschwelle reicht, wird die Tür wirkungsvoll abgeschirmt. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/luftschleier-zubehoer/,"Torkontakt für industrielle Luftschleier 
","[{""catId"":603078,""catPath"":""Construction components => Doors => Door Accessories => Automatic Door Actuators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603078""}]","{""keywords_english"":{""3"":""air curtain accessory"",""2"":""industrial air curtain"",""1"":""door contact""},""keywords"":{""3"":""Zubehör Luftschleier"",""2"":""industrielle Luftschleier"",""1"":""Torkontakt""}}","Jede Gebäudesituation ist anders. Mit unserem vielfältigen Zubehör für unterschiedliche Anwendungsfälle lässt sich der Luftschleier noch besser an Ihre jeweiligen Anforderungen anpassen und der Komfort bis hin zum vollautomatischen Betrieb steigern. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/produkte/p-serie/,"P-Serie 
","[{""catId"":608527,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Air Conditioning Technology => Air Conditioning Systems => Air Curtain Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608527""}]","{""keywords_english"":{""1"":""P-Series door curtain"",""2"":""CORRIGO® discharge system"",""3"":""energy-efficient air curtains""},""keywords"":{""1"":""P-Serie Türschleier"",""2"":""CORRIGO® Ausblassystem"",""3"":""energieeffiziente Luftschleier""}}","Die P-Serie ist mit dem CORRIGO®-Ausblassystem ausgestattet. So können Sie den Luftschleier an Ihre individuelle Eingangssituation anpassen. Im Vergleich zu konventionellen Türschleiern erzielen Sie hiermit eine deutlich höhere Energieeffizienz und nebenbei verbessern Sie merklich den Komfort für Ihre Kunden. 
 Die Luftschleier der P-Serie sind so konstruiert, dass kein Luftfilter erforderlich. Dies gewährleistet einen wartungsarmen Betrieb. Die leicht zugängliche Revisionsklappe an der Unterseite des Türschleiers ermöglicht einen unkomplizierten Wartungszugang. 
 Dank verschiedener Bauformen sind P-Serie Türschleier für fast alle Einbausituationen geeignet. Die montagefertige Ausführung sorgt für einen einfachen Einbau. Bei Türhöhen bis zu drei Metern sind diese Türschleier der smarte Weg zur effizienten Abschirmung. 
 Das CORRIGO® Ausblasssystem für Kompaktluftschleier 
 Die Teddington Kompaktluftschleier mit dem CORRIGO® Ausblasssystem erzielen im Vergleich zu konventionellen Lamellengeräten einen merklich besseren Raumkomfort und eine deutlich bessere Abschirmung. 
 Effektivität und Zuverlässigkeit 
 Hohe Wirtschaftlichkeit 
 Die CORRIGO® Lamelle liefert die Grundlage für eine hohe Wirtschaftlichkeit. 
 Höchste Qualität 
 Unsere Türluftschleier sind ""Made in Germany"" und erfüllen höchste Qualitätsansprüche. 
 Teddington funktioniert. 
 Nur wenn der Luftschleier bis zur Türkante reicht, wird die Tür wirkungsvoll abgeschirmt. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/produkte/ratiovent/,"Teddington Ratiovent 
","[{""catId"":608527,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Air Conditioning Technology => Air Conditioning Systems => Air Curtain Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608527""}]","{""keywords_english"":{""1"":""Teddington Ratiovent"",""2"":""door air curtain"",""3"":""CONVERGO® pressure chamber nozzle system""},""keywords"":{""1"":""Teddington Ratiovent"",""2"":""Torluftschleier"",""3"":""CONVERGO® Druckkammer-Düsensystem""}}","Teddington RATIOVENT ist ein kraftvoller Torluftschleier, die mit dem patentierten CONVERGO® Druckkammer-Düsensystem ausgestattet ist. Das CONVERGO® Druckkammer-Düsensystem mit einem großen, fast verlustfreien Ausblaswinkel-Verstellbereich benötigt bei gleichen Abschirmleistungen wie ein Lamellengerät ca. 30% weniger Energieaufwand. 
 Die kraftvolle Hochleistungs-Luftschleier RATIOVENT eignet sich optimal für den Einsatz im industriellen Bereich, zur horizontalen und vertikalen Montage mit und ohne Beheizung. Er ist äußerst montagefreundlich und wartungsarm. Durch seine robuste Ausführung und die kraftvolle Leistung ist er das meistgewählte Gerät im Industriebereich. 
 Durch den modularen Aufbau unseres Teddington Ratiovent können jegliche Torbreiten einfach und individuell abgedeckt werden. 
 Patentierte Düsentechnik CONVERGO® 
 Ein stark gerichteter Luftstrahl, mit dem sich bei geringem Energiebedarf sehr hohe und breite Tore abschirmen lassen. 
 Effektivität und Zuverlässigkeit 
 Hohe Wirtschaftlichkeit 
 Die patentierte CONVERGO® Düsentechnologie liefert die Grundlage für eine hohe Wirtschaftlichkeit. 
 Höchste Qualität 
 Unsere Türluftschleier sind ""Made in Germany"" und erfüllen höchste Qualitätsansprüche. 
 Teddington funktioniert 
 Nur wenn der Luftschleier bis zur Türschwelle reicht, wird die Tür wirkungsvoll abgeschirmt. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/produkte/delta/,"DELTA Türluftschleier 
","[{""catId"":608527,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Air Conditioning Technology => Air Conditioning Systems => Air Curtain Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608527""}]","{""keywords_english"":{""3"":""CONVERGO nozzle technology"",""2"":""Airfoil housing"",""1"":""Air curtain""},""keywords"":{""3"":""CONVERGO Düsentechnologie"",""2"":""Tragflächengehäuse"",""1"":""Luftabschirmung""}}","Effiziente Luftabschirmung – modern und dynamisch 
 Mit ihrem tragflächenförmigen Gehäuse setzen die Teddington Design-Geräte der DELTA-Serie einen modernen Akzent an allen Einsatzorten mit gehobenen optischen Ansprüchen. 
 Die Geräte für die horizontale Montage können in den Baulängen 100 cm, 150 cm, 200 cm, 250 cm und 300 cm über Pendeltüren und über Automatik-Schiebetüren eingesetzt werden. 
 Effektivität und Zuverlässigkeit 
 Hohe Wirtschaftlichkeit 
 Die patentierte CONVERGO® Düsentechnologie liefert die Grundlage für eine hohe Wirtschaftlichkeit. 
 HÖCHSTE QUALITÄT 
 Unsere Türluftschleier sind ""Made in Germany"" und erfüllen höchste Qualitätsansprüche. 
 TEDDINGTON FUNKTIONIERT 
 Nur wenn der Luftschleier bis zur Türschwelle reicht, wird die Tür wirkungsvoll abgeschirmt. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/produkte/c-serie-industrie/,"C-Serie Industrie 
","[{""catId"":608527,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Air Conditioning Technology => Air Conditioning Systems => Air Curtain Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608527""}]","{""keywords_english"":{""3"":""energy-efficient air curtain"",""2"":""CONVERGO nozzle technology"",""1"":""C-Series Industry""},""keywords"":{""3"":""energieeffizienter Torluftschleier"",""2"":""CONVERGO Düsentechnologie"",""1"":""C-Serie Industrie""}}","C-Serie Industrie 
 Der Torluftschleier für kleinere Tore – effizient, ökonomisch, intelligent 
 Mit der C-Serie Industrie können Sie den Luftschleier an ihre individuelle Eingangssituation perfekt anpassen. Durch die patentierte CONVERGO Druckkammer-Düsentechnologie von Teddington wird der Raumenergiebedarf enorm reduziert. Damit ist gegenüber ungeschützten Eingängen eine Energieeinsparung von mehr als 80% möglich. 
 Die C-Serie Industrie ist besonders wartungsarm und mit einem angepassten Heizregister für industrielle Einsätze bis zu einer Torhöhe von 3,3 m optimiert, zum Beispiel LKW-Andocktore, Tore von Laderampen etc. 
 Patentierte Düsentechnik CONVERGO® 
 Ein stark gerichteter Luftstrahl, mit dem sich bei geringem Energiebedarf sehr hohe und breite Türen sowie kleinere Tore abschirmen lassen. 
 Effektivität und Zuverlässigkeit 
 Hohe Wirtschaftlichkeit 
 Die patentierte CONVERGO® Düsentechnologie liefert die Grundlage für eine hohe Wirtschaftlichkeit. 
 Höchste Qualität 
 Unsere Türluftschleier sind ""Made in Germany"" und erfüllen höchste Qualitätsansprüche. 
 Teddington funktioniert 
 Nur wenn der Luftschleier bis zur Türschwelle reicht, wird die Tür wirkungsvoll abgeschirmt. 
 Qualität und Funktionalität 
 Die C-Serie Industrie setzt neue Maßstäbe in Sachen Effektivität, Energieeffizienz und Funktionalität. 
 Hochwertige Pulverbeschichtung, individuelle Farben möglich. 
 Durch die vollständige CNC-Fertigung der Gehäusebauteile sind höchste Passgenauigkeit und gleichbleibend hohe Qualität gewährleistet. 
 Das Design entspricht höchsten ästhetischen Ansprüchen. 
 Das Ansauggitter aus Blech mit Langlochstanzung ist strömungsgünstig geformt und bietet eine ansprechende Optik. 
 Die feinstufige Justierung über Raster ermöglicht eine gezielte Einstellung des Ausblaswinkels der CONVERGO® Düse. 
 Die Ausblasöffnung der patentierten CONVERGO® Düse erstreckt sich unterbrechungsfrei nahezu über die gesamte Gerätelänge. Bei einer Reihenbauweise mit mehreren Geräten ist so eine maximale Effizienz gegeben. 
 Die großflächigen Düsenwangen sorgen für eine saubere Luftführung. 
 Das Ansauggitter aus Blech mit Langlochstanzung ist strömungsgünstig geformt und bietet eine ansprechende Optik. 
 Das Ansauggitter aus Blech mit Langlochstanzung ist strömungsgünstig geformt und bietet eine ansprechende Optik. 
 Die großflächigen Düsenwangen sorgen für eine saubere Luftführung. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/produkte/charisma/,"Charisma Luftschleieranlage 
","[{""catId"":608527,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Air Conditioning Technology => Air Conditioning Systems => Air Curtain Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608527""}]","{""keywords_english"":{""3"":""Door shielding"",""2"":""CONVERGO nozzle technology"",""1"":""Column air curtain""},""keywords"":{""3"":""Türabschirmung"",""2"":""CONVERGO Düsentechnologie"",""1"":""Säulenluftschleier""}}","Der Säulenluftschleier als Statement für gutes Design 
 Mit dem Säulenluftschleiergerät CHARISMA setzen Sie ein deutliches Zeichen für Stil in Ihrem Foyer. Das klare Design macht das Gerät im Eingangsbereich zu einem Monolith der modernen Innenarchitektur. 
 Bei kleineren Türbreiten kann eine Säule links oder rechts neben der Türe bereits für ausreichende Abschirmwirkung sorgen. 
 Bei größeren, lufttechnisch anspruchsvolleren Eingangsbereichen, empfiehlt sich die Abschirmung durch zwei Geräte links und rechts neben der Tür. 
 Die Bauhöhe der Geräte wird der Höhe des Eingangsbereiches angepasst. Hierbei kann zwischen einer geraden oder schrägen Kopfabdeckung gewählt werden. 
 Patentierte Düsentechnik CONVERGO® 
 Ein stark gerichteter Luftstrahl, mit dem sich bei geringem Energiebedarf sehr hohe und breite Türen abschirmen lassen. 
 Effektivität und Zuverlässigkeit 
 Hohe Wirtschaftlichkeit 
 Die patentierte CONVERGO® Düsentechnologie liefert die Grundlage für eine hohe Wirtschaftlichkeit. 
 Höchste Qualität 
 Unsere Türluftschleier sind ""Made in Germany"" und erfüllen höchste Qualitätsansprüche. 
 Teddington funktioniert 
 Nur wenn der Luftschleier bis zur Türschwelle reicht, wird die Tür wirkungsvoll abgeschirmt. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://teddington.de/luftschleieranlagen/produkte/e-serie-twice/,"E-Serie Twice 
","[{""catId"":608527,""catPath"":""Refrigeration, air conditioning, ventilation and heating technology => Air Conditioning Technology => Air Conditioning Systems => Air Curtain Systems"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608527""}]","{""keywords_english"":{""1"":""Air curtain"",""2"":""CONVERGO® nozzle technology"",""3"":""EC fans""},""keywords"":{""1"":""Türluftschleier"",""2"":""CONVERGO® Düsentechnologie"",""3"":""EC-Ventilatoren""}}","Die kompakte Alternative zum Windfang 
 Die E-Serie Twice ist speziell für Eingangsbereiche konzipiert, die einer außergewöhnlichen Windbelastung ausgesetzt sind oder die mit extremer Zugluft zu kämpfen haben. In einem kompakten Gehäuse vereint das Gerät zwei aufeinander abgestimmte Türluftschleier: Der vordere Teil arbeitet im Umluftbetrieb und bildet eine effektive Barriere gegen die Außenluft. Der zweite Luftschleier unterstützt diese Abschirmung und sorgt im Winter zusätzlich für eine angenehme Beheizung des Innenbereichs. So ersetzt die E-Serie Twice mit ihrer doppelten Luftwalze einen klassischen Windfang. 
 Die patentierte CONVERGO® Düsentechnologie im Ausblasbereich sorgt für eine hohe Wurfweite bei minimiertem Energiebedarf. 
 Die Luftschleier der E-Serie Twice sind auch mit energiesparenden EC-Ventilatoren erhältlich, die eine stufenlose Regelung ermöglichen. Das optimiert den Einsatz und spart zusätzlich. 
 Patentierte Düsentechnik CONVERGO® 
 Ein stark gerichteter Luftstrahl, mit dem sich bei geringem Energiebedarf sehr hohe und breite Türen abschirmen lassen. 
 Effektivität und Zuverlässigkeit 
 Hohe Wirtschaftlichkeit 
 Die patentierte CONVERGO® Düsentechnologie liefert die Grundlage für eine hohe Wirtschaftlichkeit. 
 Höchste Qualität 
 Unsere Türluftschleier sind ""Made in Germany"" und erfüllen höchste Qualitätsansprüche. 
 Teddington funktioniert 
 Nur wenn der Luftschleier bis zur Türschwelle reicht, wird die Tür wirkungsvoll abgeschirmt. 
",COMPLETE,
