supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/fr/nos-marches/agriculture,"Pulvérisation agricole 
","[{""catId"":602310,""catPath"":""Valve technology => Valves => Valves (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602310""}]","{""keywords_english"":{""3"":""SAFI sprayers"",""2"":""corrosion resistance"",""1"":""agricultural valves""},""keywords"":{""3"":""Pulvérisateurs SAFI"",""2"":""résistance à la corrosion"",""1"":""robinetterie agricole""}}","SAFI propose toute une gamme spécifique de robinetterie manuelle et actionnée pour l’industrie agricole. Les applications de l’industrie agricole subissent les effets de la corrosion des produits phytosanitaires qui oxydent et corrodent les métaux. Les robinets SAFI résistent parfaitement à la corrosion de ces produits grâce à la qualité de leurs thermoplastiques et élastomères. 
 SAFI est une marque reconnue dans l’industrie agricole par de nombreux acteurs, qui nous font confiance depuis de nombreuses années et qui considèrent la gamme de produit SAFI adaptée à leurs produits. 
 La gamme de produits SAFI est adaptée à l’industrie agricole sur les applications suivantes : Pulvérisateurs grandes cultures. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/de/dienstleistungen-und-dokumente/dienstleistungen/ausbildung,"Kunststoffarmaturen 
","[{""catId"":602310,""catPath"":""Valve technology => Valves => Valves (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602310""}]","{""keywords_english"":{""1"":""plastic fittings"",""2"":""chemical resistance"",""3"":""throttle valves""},""keywords"":{""1"":""Kunststoffarmaturen"",""2"":""chemische Resistenz"",""3"":""Drosselklappen""}}","Unsere Hauptveranstaltungen 
 
 Einführung in den Bereich der Industrie-Armaturen 
 Eine Kunststoffarmatur aussuchen 
 Einführung im Bereich Kunststoffe und Elastomere 
 Einführung in die chemische Resistenz von Kunststoffarmaturen 
 Prinzipien der Hydromechanik in Armaturen 
 Ausbildung bei SAFI, für erweiterte Kenntnisse zur unserer Produktpalette 
 Drosselklappen aus Kunststoff: Einführung und anwendbare Standards 
 Einführung in die Automatisierung von Kunststoffarmaturen 
 Die European Pressure Equipment Directive DESP 2014/68/EU 
 Anwendung der EN 10204 (Konformitätszertifikate) bei Kunststoffarmaturen 
 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/fr/nos-marches/industrie-chimique,"Robinetterie SAFI pour production d'eau de javel 
","[{""catId"":602310,""catPath"":""Valve technology => Valves => Valves (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602310""}]","{""keywords_english"":{""3"":""Corrosion resistance"",""2"":""Bleach production"",""1"":""SAFI chemical faucets""},""keywords"":{""3"":""Résistance à la corrosion"",""2"":""Production d'eau de javel"",""1"":""Robinetterie chimique SAFI""}}","Les applications dans le secteur de l’industrie chimique nécessitent des produits qui résistent à des très hauts niveaux d’agression chimique, des températures élevées et à la corrosion externe. 
 SAFI est une marque reconnue par de nombreux acteurs de l’industrie chimique tels que BASF, SOLVAY, ARKEMA, BAYER, EVONIK, SANOFI-AVENTIS, QATAR CHEMICALS, NCP CHLOROCHEM qui nous font confiance depuis de nombreuses années et qui considèrent la gamme de produit SAFI adaptée à leurs process chimiques. 
 Applications 
 La gamme de produits SAFI est adaptée aux applications suivantes de l'industrie chimique : 
 
 
 Production de produits chimiques de base : 
 
 Usine chimiques (usines de chlore, usine de production d’acide sulfurique, …) 
 Industrie des polymères 
 
 
 
 Production de produits de chimie fine et autres produits dérivés : 
 
 Chimie fine 
 Pesticides 
 Produits Pharmaceutiques 
 Produits cosmétiques 
 Production de peinture 
 Production de détergents 
 
 
 
 Focus application : production de javel 
 L'Eau de Javel est obtenue par dilution de solutions industrielles d'hypochlorite de sodium. 
 Les solutions d’hypochlorite de sodium sont fabriquées par barbotage de chlore (gaz) dans de la soude caustique diluée en général à 20%. 
 Le chlore et la soude utilisés sont obtenus par électrolyse du sel. 
 SAFI propose de la robinetterie adaptée à des skids de production d’eau de javel à partir d’eau de mer. Les robinets SAFI sont très appréciés de par leur poids limité, leur grande résistance mécanique et leur capacité à résister à l’attaque chimique suscitée par le chlore, la soude caustique et l’eau de javel. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/our-markets/chemical-industry/switch_language/244/834/160,"Valvole SAFI per la produzione di candeggina 
","[{""catId"":602310,""catPath"":""Valve technology => Valves => Valves (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602310""}]","{""keywords_english"":{""1"":""chemical valves bleach"",""2"":""production sodium hypochlorite"",""3"":""mechanical resistance SAFI""},""keywords"":{""1"":""valvole chimica candeggina"",""2"":""produzione ipoclorito sodio"",""3"":""resistenza meccanica SAFI""}}","Le applicazioni nell'ambito dell’industria chimica richiedono prodotti che resistano a livelli molto alti di aggressione chimica, temperature elevate e corrosione esterna. 
 SAFI è una marca riconosciuta da molti operatori dell'industria chimica, come BASF, SOLVAY, ARKEMA, BAYER, EVONIK, SANOFI-AVENTIS, QATAR CHEMICALS e NCP CHLOROCHEM, che si affidano a noi da parecchi anni e considerano la gamma di prodotti SAFI adatta ai loro processi chimici. 
 La gamma di prodotti SAFI è adatta alle seguenti applicazioni dell'industria chimica : 
 Produzione di prodotti chimici di base :
[LIST] - Impianti chimici (impianti di cloro, impianti per la produzione di acido solforico, ecc.) - Settore dei polimeri [END LIST] 
 Produzione di prodotti della chimica fine e altri derivati :
[LIST] - Chimica fine - Pesticidi - Prodotti farmaceutici - Prodotti cosmetici - Produzione di vernici - Produzione di detergenti [END LIST]
(Elenco non esaustivo) 
 Focus d’applicazione : produzione di candeggina 
 La candeggina è ottenuta mediante diluizione di soluzioni industriali di ipoclorito di sodio. 
 Le soluzioni di ipoclorito di sodio vengono prodotte facendo gorgogliare del cloro (gas) in soda caustica diluita in genere al 20 %. 
 Il cloro e la soda utilizzati sono ottenuti tramite elettrolisi del sale. 
 SAFI offre delle valvole adatte a skid per la produzione di candeggina partendo dall’acqua di mare. Le valvole SAFI sono molto apprezzate grazie al loro peso contenuto, all’elevata resistenza meccanica e alla loro capacità di sopportare l'aggressione chimica provocata da cloro, soda caustica e candeggina. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/services-and-documents/technical-tools/flange-dimensions/switch_language/309/1/160,"Flanged Valve Dimensions 
","[{""catId"":604013,""catPath"":""Fastening technology, joining technology and fittings => Fittings => Flanges => Flanges (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604013""}]","{""keywords_english"":{""3"":""ASME B16.5 Standard"",""2"":""EN1092-1 Standard"",""1"":""Flanged Valve""},""keywords"":{""3"":""ASME B16.5 Standard"",""2"":""EN1092-1 Standard"",""1"":""Flanged Valve""}}","The joint dimensions for the end connections of our flanged valves are in accordance with international standards, in particular EN1092-1, ASME B16.5 or BS10. 
 The detailed dimensions can be found in the following tables. 
 https://s3.eu-west-3.amazonaws.com/safi-site/site/thumbnails/tematik_image_portrait/9115/4166/7818/dimensions_brides2.jpg
https://s3.eu-west-3.amazonaws.com/safi-site/site/3315/4175/0481/flange_dimensions.JPG
Télécharger le tableau des dimensions de brides[application/pdf] - 59.98 KB 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/fr/services-et-documents/outils-techniques/dimensions-de-brides,"Dimensions of Flange Connectors 
","[{""catId"":604013,""catPath"":""Fastening technology, joining technology and fittings => Fittings => Flanges => Flanges (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604013""}]","{""keywords_english"":{""1"":""assembly dimensions"",""2"":""end connections"",""3"":""international standards""},""keywords"":{""1"":""dimensions d'assemblage"",""2"":""raccordements d'extrémités"",""3"":""normes internationales""}}","Les dimensions d'assemblage des raccordements d'extrémités de nos robinets à brides sont conformes aux principales normes internationales, en particulier l'EN1092-1, l'ASME B16.5 ou le BS10. 
 Les dimensions détaillées sont précisées dans le tableau suivant. 
 https://s3.eu-west-3.amazonaws.com/safi-site/site/thumbnails/tematik_image_portrait/9115/4166/7818/dimensions_brides2.jpg 
 https://s3.eu-west-3.amazonaws.com/safi-site/site/3315/4175/0481/flange_dimensions.JPG 
 Télécharger le tableau des dimensions de brides[application/pdf] - 59,98 KB 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/group/presentation/switch_language/215/558/160,"Válvulas plásticas de SAFI 
","[{""catId"":602310,""catPath"":""Valve technology => Valves => Valves (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=602310""}]","{""keywords_english"":{""1"":""thermoplastic valves"",""2"":""design and production"",""3"":""European leader industrial valves""},""keywords"":{""1"":""válvulas termoplásticas"",""2"":""diseño y producción"",""3"":""líder europeo válvulas industriales""}}","Fundada en 1963 por Jacques Moison, SAFI diseña y fabrica una amplia gama de válvulas termoplásticas para las industrias más exigentes. 
 Tanto si se trata de una válvula de nuestro catálogo como de una solución específicamente desarrollada para satisfacer sus necesidades, SAFI pone toda su experiencia y su capacidad de innovación al servicio de la seguridad y rendimiento de su instalación. 
 SAFI es una empresa familiar que, desde hace más de 60 años, le garantiza una relación a escala humana para brindarle un servicio de proximidad, técnico y dinámico. 
 Dondequiera que se encuentre, SAFI le acompaña mediante sus filiales y su amplia red internacional de distribuidores. 
 https://s3.eu-west-3.amazonaws.com/safi-site/site/thumbnails/tematik_image/4515/4099/2929/carte_presentation_group.jpg 
 60años de experiencia 
 SAFI se dedica al diseño y la producción de válvulas industriales de plástico desde su creación en 1963 y actualmente es uno de los líderes europeos de este sector. 
 8000productos en catálogo 
 Nuestro catálogo se nutre de nuestros 55 años de existencia. Por ello podemos ofrecerle una amplia gama de productos estándar creados por SAFI con un diseño probado. 
 5nuevos productos a medida cada semana 
 Cada día, nuestros equipos técnicos crean una nueva solución para uno de nuestros clientes. SAFI diseña soluciones para cada una de sus necesidades (adaptación de un producto existente o válvula completamente diseñada para usted). 
 70países cubiertos 
 SAFI le ofrece sus productos y servicios en todo el mundo a través de una amplia red de filiales y distribuidores. Además, nuestros equipos comerciales y técnicos se desplazan in situ a sus instalaciones, estén donde estén. 
 15idiomas hablados 
 La proyección internacional no es una estrategia: es una cultura empresarial. En SAFI, nuestros colaboradores proceden de diversas zonas geográficas y se comunican con usted en más de 15 lenguas diferentes. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/services-and-documents/services/technical-assistance,"Technical Assistance Services 
","[{""catId"":616850,""catPath"":""Planning, engineering and development => Engineering Services => Engineering Services (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616850""}]","{""keywords_english"":{""3"":""chemical compatibility validation"",""2"":""fluid mechanics experts"",""1"":""technical assistance services""},""keywords"":{""3"":""validation de compatibilité chimique"",""2"":""experts en mécanique des fluides"",""1"":""services d'assistance technique""}}","Our engineers are at your disposal to support you with their expertise in valves, piping, chemistry, fluid mechanics and control. 
 Our teams can visit your installation to better understand your needs. 
 Do you need technical assistance ? 
 Request technical support 
 Do you need to validate the chemical resistance of a product ? 
 Request a chemical compatibility 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/our-markets/agriculture/switch_language/250/723/160,"Feldspritzen (modifizierbare Armaturen) 
","[{""catId"":603623,""catPath"":""Supplies for agriculture, forestry, fishing, horticulture => Gardening Tools => Pesticide Sprayers"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=603623""}]","{""keywords_english"":{""3"":""SAFI agricultural fittings"",""2"":""Corrosion-resistant ball valves"",""1"":""Field sprayers""},""keywords"":{""3"":""SAFI Landwirtschaft Armaturen"",""2"":""Korrosionsbeständige Kugelhähne"",""1"":""Feldspritzen""}}","Anwendungen innerhalb der Landwirtschaft unterstehen der Korrosion, entstanden durch phytosanitäre Produkte, die Metalle oxidieren und korrodieren. SAFI Kugelhähne halten solcher Korrosion perfekt stand, dank der Qualität ihres Kunststoffes und der Elastomere. 
 SAFI ist eine Marke, die von vielen Akteuren in der Landwirtschaft anerkannt wird. Diese vertrauen SAFI seit Dekaden, besonders im Hinblick auf die für ihre Anwendungen verwendbaren Armaturen. 
 SAFI Produkte werden in der Landwirtschaft für folgende Anwendungen eingesetzt : FIELDSPRITZEN. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.safi-valves.com/fr/services-et-documents/outils-techniques/guide-de-motorisation,"Motorisation 
","[{""catId"":605663,""catPath"":""Electrical engineering => Actuators"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=605663""}]","{""keywords_english"":{""1"":""ISO 5211 interface kit"",""2"":""pneumatic diaphragm valve"",""3"":""electric actuator""},""keywords"":{""1"":""kit d’interface ISO 5211"",""2"":""robinet à membrane pneumatique"",""3"":""actionneur électrique""}}","
 Une large gamme de kits d’interface ISO 5211 
 Nos robinets à membrane pneumatiques 
 Notre gamme d’actionneurs pneumatiques 
 Notre gamme d’actionneurs électriques 
 Ainsi que tous les accessoires associés. 
 
",COMPLETE,
