supplier_id,url,title,cate_info_ai,keyword_ai,description,status,reason
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.pjschulz.de/LOCTITE-AA-307/1223427,"LOCTITE® AA 307 
","[{""catId"":610959,""catPath"":""Soldering, welding and bonding technology => Adhesives => Acrylate Adhesive"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=610959""}]","{""keywords_english"":{""3"":""250 ml Bottle"",""2"":""LOCTITE AA 307"",""1"":""Urethane Methacrylate Acrylic Adhesive""},""keywords"":{""3"":""250 ml Flasche"",""2"":""LOCTITE AA 307"",""1"":""Urethan-Metacrylat-Acryl-Klebstoff""}}","LOCTITE® AA 307 
 1K-Urethan-Metacrylat-Acryl-Klebstoff 
 250 ml Flasche 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.pjschulz.de/Absaug-U.Geblaeseschlauch-Typ-Superflex-PVC-372/1044287,"Aussaug- U.Gebläseschlauch, Typ: Superflex PVC 372 
","[{""catId"":613189,""catPath"":""Pipe and hose technology => Hoses => Plastic Hoses => PVC Hoses"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613189""}]","{""keywords_english"":{""1"":""extraction hose"",""2"":""blower hose"",""3"":""Superflex PVC 372""},""keywords"":{""1"":""Absaugschlauch"",""2"":""Gebläseschlauch"",""3"":""Superflex PVC 372""}}","Absaug- U.Gebläseschlauch, Typ: Superflex PVC 372 
 leichte Ausführung, 38 mm Id, 44 mm AD 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.pjschulz.de/LOCTITE-574/1010817,"LOCTITE® 574 
","[{""catId"":605182,""catPath"":""Sealing technology => Building Sealants => Sealing Compounds"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=605182""}]","{""keywords_english"":{""3"":""250 ml"",""2"":""universal"",""1"":""Gasket Sealant""},""keywords"":{""3"":""250 ml"",""2"":""universal"",""1"":""Flächendichtung""}}","LOCTITE® 574 
 Flächendichtung, universal 
 Flasche je 250 ml 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,http://www.pjschulz.de/english//products-technical-industrial-supplies,"Technical Industrial Supplies 
","[{""catId"":608216,""catPath"":""Industrial supplies => Industrial Supplies (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=608216""}]","{""keywords_english"":{""3"":""operational systems"",""2"":""technical trade segment"",""1"":""Technical Industrial Supplies""},""keywords"":{""3"":""betriebsbereite Systeme"",""2"":""technische Handelssegment"",""1"":""Technische Industriebedarf""}}","""Our customers produce intelligent products – we provide the details"" is aimed at the trouble-free operation, constant availability and functional readiness of your systems and machines. In addition to our three core areas, we therefore offer you all the technical industrial requirements you need to perfect your process chain in our ""Technical Trade"" segment. In doing so, we always keep your overall benefit firmly in mind and work under the principle ""Nothing is impossible."" 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://www.pjschulz.de/lieferservice,"Lieferservice 
","[{""catId"":616354,""catPath"":""Logistics, transportation and storage => Delivery Services"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=616354""}]","{""keywords_english"":{""3"":""Valve Technology"",""2"":""Hose Technology"",""1"":""Sealing Technology""},""keywords"":{""3"":""Armaturentechnik"",""2"":""Schlauchtechnik"",""1"":""Dichtungstechnik""}}","Sie benötigen eine individuelle Dichtungslösung, Schlauchleitungen oder ein anderes technisches Bedarfsprodukt? P.J. Schulz ist der richtige Lieferant für den technischen Einkauf. Wir versorgen Sie über unseren Lieferservice zuverlässig mit allen technischen Bedarfsprodukten – natürlich mit Dichtungstechnik, Fluidtechnik, Schlauchtechnik und Armaturentechnik sowie mit ergänzenden Komplementärprodukten. Sie erhalten zusätzlich zu technischer Kompetenz eine intelligente Logistik, die Ausfallzeiten minimiert und Ihren Gesamtnutzen steigert. 
 Flexible, wirtschaftliche und zielgenaue Lieferung in einem integrierten Konzept 
 P.J. Schulz bietet durch eine Kombination aus intelligenter Lagerhaltung und eigener Fertigung inklusive Express-Service die flexible, schnelle, kostengünstige und zielgenaue Lieferung für Kunden aus Bereichen der Chemie, Petrochemie, dem Maschinen- & Anlagenbau, dem Heizungs- und Lüftungsanlagenbau, dem Gesundheitswesen (Pharma) und der Lebensmittelindustrie. Egal ob Sie ein Serienteil benötigen oder eine Spezialanfertigung. Wir navigieren Ihre Lieferung in time bis zum gewünschten Verbrauchsort, regional, bundesweit, weltweit. 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.pjschulz.de/Storz-Festkupplung-mit-Aussengewinde/1034401,"Storz-Festkupplung mit Aussengewinde 
","[{""catId"":604036,""catPath"":""Fastening technology, joining technology and fittings => Fittings => Quick Couplings"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=604036""}]","{""keywords_english"":{""3"":""Coupling"",""2"":""External thread"",""1"":""Storz coupling""},""keywords"":{""3"":""Kupplung"",""2"":""Aussengewinde"",""1"":""Storz-Festkupplung""}}","Storz-Festkupplung mit Aussengewinde 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.pjschulz.de/E-Coll-2K-fluessig-Metall-50-ml-Kartusche/1027663,"E-Coll 2K-flüssig-Metall, 50 ml/Kartusche 
","[{""catId"":613335,""catPath"":""Raw materials and chemistry => Chemicals => Chemicals (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613335""}]","{""keywords_english"":{""1"":""2K liquid metal"",""2"":""50 ml cartridge"",""3"":""E-Coll""},""keywords"":{""1"":""2K-flüssig-Metall"",""2"":""50 ml Kartusche"",""3"":""E-Coll""}}","E-Coll 2K-flüssig-Metall, 50 ml/Kartusche 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.pjschulz.de/Frenzelit-novapress-MULTI-II-Dichtung/1073412,"Frenzelit novapress® MULTI II Dichtung 
","[{""catId"":605222,""catPath"":""Sealing technology => Seals => Flat Gaskets"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=605222""}]","{""keywords_english"":{""1"":""Frenzelit"",""2"":""novapress MULTI II"",""3"":""Gasket""},""keywords"":{""1"":""Frenzelit"",""2"":""novapress MULTI II"",""3"":""Dichtung""}}","Frenzelit novapress® MULTI II Dichtung 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.pjschulz.de/Format-Bau-Industrieschlauch-C-52-Laenge-20m/1022611,"Format Bau/Industrieschlauch, C-52, Länge: 20m 
","[{""catId"":613180,""catPath"":""Pipe and hose technology => Hoses => Hoses (Other)"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=613180""}]","{""keywords_english"":{""1"":""Construction/Industrial Hose"",""2"":""C-52"",""3"":""20m""},""keywords"":{""1"":""Bau/Industrieschlauch"",""2"":""C-52"",""3"":""20m""}}","Format Bau/Industrieschlauch, C-52 
",COMPLETE,
45d2ccb1-3f54-4539-b276-a8a34878d623,https://shop.pjschulz.de/LOCTITE-648/1010840,"LOCTITE® 648 
","[{""catId"":601164,""catPath"":""Joining and bonding => Gluing"",""catUrl"":""https://vtyler.alibaba.com/vtyler/index.htm?categoryId=601164""}]","{""keywords_english"":{""3"":""LOCTITE 648"",""2"":""50 ml bottle"",""1"":""adhesive""},""keywords"":{""3"":""LOCTITE 648"",""2"":""50 ml Flasche"",""1"":""Fügeprodukt""}}","LOCTITE® 648 
 Fügeprodukt, universal 
 50 ml Flasche| VE=12 Stück 
 Artikelnummer: 1010840 - EAN: 4330816645734 
",COMPLETE,
